Year,Super Bowl #,Winning coach,Winning team,Losing team,Losing coach
1967,I,Vince Lombardi,Green Bay Packers,Kansas City Chiefs,Hank Stram
1968,II,Vince Lombardi,Green Bay Packers,Oakland Raiders,John Rauch
1969,III,Weeb Ewbank,New York Jets,Baltimore Colts,Don Shula
1970,IV,Hank Stram,Kansas City Chiefs,Minnesota Vikings,Bud Grant
1971,V,Don McCafferty,Baltimore Colts,Dallas Cowboys,Tom Landry
1972,VI,Tom Landry,Dallas Cowboys,Miami Dolphins,Don Shula 
1973,VII,Don Shula,Miami Dolphins,Washington Redskins,George Allen
1974,VIII,Don Shula,Miami Dolphins,Minnesota Vikings,Bud Grant 
1975,IX,Chuck Noll,Pittsburgh Steelers,Minnesota Vikings,Bud Grant 
1976,X,Chuck Noll,Pittsburgh Steelers,Dallas Cowboys,Tom Landry 
1977,XI,John Madden,Oakland Raiders,Minnesota Vikings,Bud Grant 
1978,XII,Tom Landry,Dallas Cowboys,Denver Broncos,Red Miller
1979,XIII,Chuck Noll,Pittsburgh Steelers,Dallas Cowboys,Tom Landry
1980,XIV,Chuck Noll,Pittsburgh Steelers,Los Angeles Rams,Ray Malavasi
1981,XV,Tom Flores,Oakland Raiders,Philadelphia Eagles,Dick Vermeil
1982,XVI,Bill Walsh,San Francisco 49ers,Cincinnati Bengals,Forrest Gregg
1983,XVII,Joe Gibbs,Washington Redskins,Miami Dolphins,Don Shula 
1984,XVIII,Tom Flores,Los Angeles Raiders,Washington Redskins,Joe Gibbs
1985,XIX,Bill Walsh,San Francisco 49ers,Miami Dolphins,Don Shula 
1986,XX,Mike Ditka,Chicago Bears,New England Patriots,Raymond Berry
1987,XXI,Bill Parcells,New York Giants,Denver Broncos,Dan Reeves
1988,XXII,Joe Gibbs,Washington Redskins,Denver Broncos,Dan Reeves 
1989,XXIII,Bill Walsh,San Francisco 49ers,Cincinnati Bengals,Sam Wyche
1990,XXIV,George Seifert,San Francisco 49ers,Denver Broncos,Dan Reeves
1991,XXV,Bill Parcells,New York Giants,Buffalo Bills,Marv Levy
1992,XXVI,Joe Gibbs,Washington Redskins,Buffalo Bills,Marv Levy 
1993,XXVII,Jimmy Johnson,Dallas Cowboys,Buffalo Bills,Marv Levy 
1994,XXVIII,Jimmy Johnson,Dallas Cowboys,Buffalo Bills,Marv Levy 
1995,XXIX,George Seifert,San Francisco 49ers,San Diego Chargers,Bobby Ross
1996,XXX,Barry Switzer,Dallas Cowboys,Pittsburgh Steelers,Bill Cowher
1997,XXXI,Mike Holmgren,Green Bay Packers,New England Patriots,Bill Parcells
1998,XXXII,Mike Shanahan,Denver Broncos,Green Bay Packers,Mike Holmgren
1999,XXXIII,Mike Shanahan,Denver Broncos,Atlanta Falcons,Dan Reeves 
2000,XXXIV,Dick Vermeil,St. Louis Rams,Tennessee Titans,Jeff Fisher
2001,XXXV,Brian Billick,Baltimore Ravens,New York Giants,Jim Fassel
2002,XXXVI,Bill Belichick,New England Patriots,St. Louis Rams,Mike Martz
2003,XXXVII,Jon Gruden,Tampa Bay Buccaneers,Oakland Raiders,Bill Callahan
2004,XXXVIII,Bill Belichick,New England Patriots,Carolina Panthers,John Fox
2005,XXXIX,Bill Belichick,New England Patriots,Philadelphia Eagles,Andy Reid
2006,XL,Bill Cowher,Pittsburgh Steelers,Seattle Seahawks,Mike Holmgren
2007,XLI,Tony Dungy,Indianapolis Colts,Chicago Bears,Lovie Smith
2008,XLII,Tom Coughlin,New York Giants,New England Patriots,Bill Belichick
2009,XLIII,Mike Tomlin,Pittsburgh Steelers,Arizona Cardinals,Ken Whisenhunt
2010,XLIV,Sean Payton,New Orleans Saints,Indianapolis Colts,Jim Caldwell
2011,XLV,Mike McCarthy,Green Bay Packers,Pittsburgh Steelers,Mike Tomlin
2012,XLVI,Tom Coughlin,New York Giants,New England Patriots,Bill Belichick
2013,XLVII,John Harbaugh,Baltimore Ravens,San Francisco 49ers,Jim Harbaugh
2014,XLVIII,Pete Carroll,Seattle Seahawks,Denver Broncos,John Fox
2015,XLIX,Bill Belichick,New England Patriots,Seattle Seahawks,Pete Carroll
2016,L,Gary Kubiak,Denver Broncos,Carolina Panthers,Ron Rivera
2017,LI,Bill Belichick,New England Patriots,Atlanta Falcons,Dan Quinn
2018,LII,Doug Pederson,Philadelphia Eagles,New England Patriots,Bill Belichick